ts,src_ip,dst_ip,pck_len
1615343361.453508,4846,5145,60
1615343379.3917038,845,5162,62
1615343393.552792,2224,5203,60
1615343409.539317,1698,5197,60
1615343419.422991,214,5151,60
1615343422.638883,1256,5098,60
1615343444.57733,845,5181,62
1615343446.541157,163,5151,98
1615343453.2675538,161,5151,98
1615343453.801312,384,5151,98
1615343462.221742,845,5235,62
1615343467.508713,259,5151,98
1615343473.1716769,156,5151,98
1615343474.653612,906,5151,60
1615343474.729942,906,5151,60
1615343481.097303,262,5151,98
1615343514.749743,3137,5148,60
1615343563.2845368,2761,5169,60
1615343569.1557539,845,5259,62
1615343698.479091,713,5306,60
1615343705.890452,845,5231,62
1615343709.2710311,216,5151,60
1615343720.2867892,2721,5236,60
1615343740.27045,896,5151,98
1615343744.824523,1256,5225,60
1615343750.3022768,845,5236,62
1615343753.799835,157,5151,98
1615343757.468714,2062,5245,60
1615343760.549249,260,5151,98
1615343760.692655,153,5151,98
1615343763.371711,384,5151,98
1615343774.54556,388,5151,60
1615343774.6253119,388,5151,60
1615343777.3055801,227,5151,98
1615343871.881136,4148,5179,60
1615343874.186799,845,5194,62
1615343897.519006,1073,5137,60
1615344009.146378,215,5151,60
1615344041.1844869,162,5151,98
1615344052.4943,160,5151,98
1615344061.026757,154,5151,98
1615344061.187576,877,5151,98
1615344064.745259,156,5151,98
1615344072.862359,1256,5119,60
1615344073.464016,906,5151,60
1615344073.498831,906,5151,60
1615344077.0388231,260,5151,98
1615344081.155282,3688,5128,60
1615344133.32805,845,5283,62
1615344136.207796,1256,5112,60
1615344139.281784,845,5339,62
1615344170.796737,4821,5196,60
1615344195.85269,845,5152,62
1615344220.4782288,845,5349,62
1615344225.556338,845,5144,62
1615344245.859235,4294,5192,60
1615344258.7261631,4005,5295,60
1615344297.493007,912,5128,60
1615344300.574593,845,5273,62
1615344309.122803,212,5151,60
1615344342.2064471,159,5151,98
1615344353.199322,158,5151,98
1615344359.898269,164,5151,98
1615344360.809456,155,5151,98
1615344365.896901,1256,5303,60
1615344366.164584,262,5151,98
1615344373.732456,906,5151,60
1615344373.762521,906,5151,60
1615344382.285674,222,5151,98
1615344408.1823368,4938,5298,60
1615344435.7491539,4517,5228,74
1615344532.5255141,845,5172,62
