ts,src_ip,src_port,dst_ip,dst_port,pck_len,tcp_flags
1615343338.127264,614,51573.0,5259,45264.0,60,2.0
1615343338.1380699,614,51573.0,5260,45447.0,60,2.0
1615343338.2118368,2915,41619.0,5250,6381.0,60,2.0
1615343338.2722619,1675,59731.0,5207,3354.0,60,2.0
1615343338.446684,4665,34377.0,5345,23.0,60,2.0
1615343338.562184,1786,27695.0,5346,80.0,60,2.0
1615343338.574306,426,47394.0,5192,2430.0,60,2.0
1615343338.5791972,614,51573.0,5312,45893.0,60,2.0
1615343338.726938,614,51573.0,5271,55789.0,60,2.0
1615343338.727733,614,51573.0,5247,55789.0,60,2.0
1615343338.812689,426,47394.0,5281,2061.0,60,2.0
1615343338.988637,3378,39198.0,5334,26141.0,60,2.0
1615343339.068432,4385,53762.0,5151,445.0,60,2.0
1615343339.0896142,426,47394.0,5204,1452.0,60,2.0
1615343339.109301,2106,40517.0,5343,21691.0,60,2.0
1615343339.1752038,1375,53215.0,5124,8883.0,60,2.0
1615343339.3464448,3135,41037.0,5234,29591.0,60,2.0
1615343339.349635,3054,52479.0,5211,10795.0,60,2.0
1615343339.36379,3516,40236.0,5273,8042.0,60,2.0
1615343339.373496,614,51573.0,5309,55789.0,60,2.0
1615343339.407801,2953,26200.0,5201,6601.0,60,2.0
1615343339.419328,872,52451.0,5143,23.0,60,2.0
1615343339.4455929,614,51573.0,5118,55826.0,60,2.0
1615343339.5718849,3470,37991.0,5148,805.0,60,2.0
1615343339.590466,254,60100.0,5156,445.0,66,2.0
1615343339.6511369,2491,58212.0,5251,22220.0,60,2.0
1615343339.7051961,614,51573.0,5295,45938.0,60,2.0
1615343339.719173,1039,62454.0,5214,23.0,60,2.0
1615343339.8960052,614,51573.0,5251,45893.0,60,2.0
1615343339.897331,614,51573.0,5312,45568.0,60,2.0
1615343339.965282,2915,41619.0,5273,6381.0,60,2.0
1615343340.03481,4738,54226.0,5241,995.0,60,2.0
1615343340.081892,2293,47549.0,5316,80.0,74,2.0
1615343340.1290731,254,60197.0,5199,445.0,66,2.0
1615343340.17283,711,54614.0,5175,445.0,66,2.0
1615343340.189734,614,51573.0,5207,45763.0,60,2.0
1615343340.3065631,1936,43070.0,5136,13388.0,60,2.0
1615343340.433477,3558,35055.0,5171,970.0,60,2.0
1615343340.523138,614,51573.0,5241,45893.0,60,2.0
1615343340.53339,3494,13916.0,5213,9904.0,60,2.0
1615343340.6275911,614,51573.0,5270,45264.0,60,2.0
1615343340.707032,426,47394.0,5194,2834.0,60,2.0
1615343340.781395,711,55090.0,5166,445.0,66,2.0
