ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615343361.453508,4846,5145,60,1,1,1,0,5145.0,0.0,60.0,0.0
1615343379.3917036,845,5162,62,2,3,3,73,5192.666666666667,30.922843048824312,62.0,0.0
1615343393.552792,2224,5203,60,3,1,1,0,5203.0,0.0,60.0,0.0
1615343409.539317,1698,5197,60,4,1,1,0,5197.0,0.0,60.0,0.0
1615343419.422991,214,5151,60,5,1,1,0,5151.0,0.0,60.0,0.0
1615343422.638883,1256,5098,60,6,1,1,0,5098.0,0.0,60.0,0.0
1615343444.57733,845,5181,62,2,3,3,73,5192.666666666667,30.922843048824312,62.0,0.0
1615343446.541157,163,5151,98,7,1,1,0,5151.0,0.0,98.0,0.0
1615343453.2675538,161,5151,98,8,1,1,0,5151.0,0.0,98.0,0.0
1615343453.801312,384,5151,98,9,1,1,0,5151.0,0.0,98.0,0.0
1615343462.221742,845,5235,62,2,3,3,73,5192.666666666667,30.922843048824312,62.0,0.0
1615343467.508713,259,5151,98,10,1,1,0,5151.0,0.0,98.0,0.0
1615343473.1716769,156,5151,98,11,1,1,0,5151.0,0.0,98.0,0.0
1615343474.653612,906,5151,60,12,2,1,0,5151.0,0.0,60.0,0.0
1615343474.729942,906,5151,60,12,2,1,0,5151.0,0.0,60.0,0.0
1615343481.097303,262,5151,98,13,1,1,0,5151.0,0.0,98.0,0.0
1615343514.749743,3137,5148,60,14,1,1,0,5148.0,0.0,60.0,0.0
1615343563.2845366,2761,5169,60,15,1,1,0,5169.0,0.0,60.0,0.0
1615343569.1557539,845,5259,62,16,2,2,28,5245.0,14.0,62.0,0.0
1615343698.479091,713,5306,60,17,1,1,0,5306.0,0.0,60.0,0.0
1615343705.890452,845,5231,62,16,2,2,28,5245.0,14.0,62.0,0.0
1615343709.2710311,216,5151,60,18,1,1,0,5151.0,0.0,60.0,0.0
1615343720.2867892,2721,5236,60,19,1,1,0,5236.0,0.0,60.0,0.0
1615343740.27045,896,5151,98,20,1,1,0,5151.0,0.0,98.0,0.0
1615343744.824523,1256,5225,60,21,1,1,0,5225.0,0.0,60.0,0.0
1615343750.3022768,845,5236,62,22,2,2,42,5215.0,21.0,62.0,0.0
1615343753.799835,157,5151,98,23,1,1,0,5151.0,0.0,98.0,0.0
1615343757.468714,2062,5245,60,24,1,1,0,5245.0,0.0,60.0,0.0
1615343760.549249,260,5151,98,25,1,1,0,5151.0,0.0,98.0,0.0
1615343760.692655,153,5151,98,26,1,1,0,5151.0,0.0,98.0,0.0
1615343763.371711,384,5151,98,27,1,1,0,5151.0,0.0,98.0,0.0
1615343774.54556,388,5151,60,28,2,1,0,5151.0,0.0,60.0,0.0
1615343774.6253119,388,5151,60,28,2,1,0,5151.0,0.0,60.0,0.0
1615343777.3055801,227,5151,98,29,1,1,0,5151.0,0.0,98.0,0.0
1615343871.881136,4148,5179,60,30,1,1,0,5179.0,0.0,60.0,0.0
1615343874.186799,845,5194,62,22,2,2,42,5215.0,21.0,62.0,0.0
1615343897.519006,1073,5137,60,31,1,1,0,5137.0,0.0,60.0,0.0
1615344009.146378,215,5151,60,32,1,1,0,5151.0,0.0,60.0,0.0
1615344041.1844866,162,5151,98,33,1,1,0,5151.0,0.0,98.0,0.0
1615344052.4943,160,5151,98,34,1,1,0,5151.0,0.0,98.0,0.0
1615344061.026757,154,5151,98,35,1,1,0,5151.0,0.0,98.0,0.0
1615344061.187576,877,5151,98,36,1,1,0,5151.0,0.0,98.0,0.0
1615344064.745259,156,5151,98,37,1,1,0,5151.0,0.0,98.0,0.0
1615344072.862359,1256,5119,60,38,2,2,7,5115.5,3.5,60.0,0.0
1615344073.464016,906,5151,60,39,2,1,0,5151.0,0.0,60.0,0.0
1615344073.498831,906,5151,60,39,2,1,0,5151.0,0.0,60.0,0.0
1615344077.0388231,260,5151,98,40,1,1,0,5151.0,0.0,98.0,0.0
1615344081.155282,3688,5128,60,41,1,1,0,5128.0,0.0,60.0,0.0
1615344133.32805,845,5283,62,42,6,6,205,5256.666666666667,81.56115633205688,62.0,0.0
1615344136.207796,1256,5112,60,38,2,2,7,5115.5,3.5,60.0,0.0
1615344139.281784,845,5339,62,42,6,6,205,5256.666666666667,81.56115633205688,62.0,0.0
1615344170.796737,4821,5196,60,43,1,1,0,5196.0,0.0,60.0,0.0
1615344195.85269,845,5152,62,42,6,6,205,5256.666666666667,81.56115633205688,62.0,0.0
1615344220.4782288,845,5349,62,42,6,6,205,5256.666666666667,81.56115633205688,62.0,0.0
1615344225.556338,845,5144,62,42,6,6,205,5256.666666666667,81.56115633205688,62.0,0.0
1615344245.859235,4294,5192,60,44,1,1,0,5192.0,0.0,60.0,0.0
1615344258.7261634,4005,5295,60,45,1,1,0,5295.0,0.0,60.0,0.0
1615344297.493007,912,5128,60,46,1,1,0,5128.0,0.0,60.0,0.0
1615344300.574593,845,5273,62,42,6,6,205,5256.666666666667,81.56115633205688,62.0,0.0
1615344309.122803,212,5151,60,47,1,1,0,5151.0,0.0,60.0,0.0
1615344342.2064474,159,5151,98,48,1,1,0,5151.0,0.0,98.0,0.0
1615344353.199322,158,5151,98,49,1,1,0,5151.0,0.0,98.0,0.0
1615344359.898269,164,5151,98,50,1,1,0,5151.0,0.0,98.0,0.0
1615344360.809456,155,5151,98,51,1,1,0,5151.0,0.0,98.0,0.0
1615344365.896901,1256,5303,60,52,1,1,0,5303.0,0.0,60.0,0.0
1615344366.164584,262,5151,98,53,1,1,0,5151.0,0.0,98.0,0.0
1615344373.732456,906,5151,60,54,2,1,0,5151.0,0.0,60.0,0.0
1615344373.762521,906,5151,60,54,2,1,0,5151.0,0.0,60.0,0.0
1615344382.285674,222,5151,98,55,1,1,0,5151.0,0.0,98.0,0.0
1615344408.1823368,4938,5298,60,56,1,1,0,5298.0,0.0,60.0,0.0
1615344435.7491539,4517,5228,74,57,1,1,0,5228.0,0.0,74.0,0.0
1615344532.5255141,845,5172,62,58,2,2,1,5171.5,0.5,62.0,0.0
1615344539.7108939,4887,5201,60,59,1,1,0,5201.0,0.0,60.0,0.0
1615344609.011913,845,5171,62,58,2,2,1,5171.5,0.5,62.0,0.0
