ts,src_ip,src_port,dst_ip,dst_port,pck_len,user,num_attack,first_port_scan,ip_diff,port_diff,range_ip,range_port,ip_medium,ip_std,port_medium,port_std,pck_medium,pck_std
1615343341.9954212,2086,52161.0,5315,5351.0,60,1,1,5351.0,1,1,0,0,5315.0,0.0,5351.0,0.0,60.0,0.0
1615343342.1893609,4780,43706.0,5193,5683.0,63,2,1,5683.0,1,1,0,0,5193.0,0.0,5683.0,0.0,63.0,0.0
1615343344.399699,2706,27649.0,5321,8082.0,105,3,1,8082.0,1,1,0,0,5321.0,0.0,8082.0,0.0,105.0,0.0
1615343346.442171,1253,31515.0,5338,2222.0,66,4,1,2222.0,1,1,0,0,5338.0,0.0,2222.0,0.0,66.0,0.0
1615343350.0084321,4787,56142.0,5177,500.0,106,5,1,500.0,1,1,0,0,5177.0,0.0,500.0,0.0,106.0,0.0
1615343351.347393,2011,47147.0,5255,123.0,234,6,1,123.0,1,1,0,0,5255.0,0.0,123.0,0.0,234.0,0.0
1615343353.094408,2014,61136.0,5321,60908.0,229,7,1,60908.0,1,1,0,0,5321.0,0.0,60908.0,0.0,229.0,0.0
1615343353.906262,4230,49834.0,5191,60908.0,115,8,1,60908.0,1,1,0,0,5191.0,0.0,60908.0,0.0,115.0,0.0
1615343355.2267814,369,46541.0,5250,389.0,81,9,1,389.0,1,1,0,0,5250.0,0.0,389.0,0.0,81.0,0.0
1615343355.341507,3600,42828.0,5254,53.0,104,10,1,53.0,1,1,0,0,5254.0,0.0,53.0,0.0,104.0,0.0
1615343358.021521,4162,59891.0,5130,53413.0,71,11,1,53413.0,1,1,0,0,5130.0,0.0,53413.0,0.0,71.0,0.0
1615343361.778494,565,16728.0,5298,27015.0,67,12,1,27015.0,1,1,0,0,5298.0,0.0,27015.0,0.0,67.0,0.0
1615343365.768092,1712,31515.0,5258,2222.0,66,13,1,2222.0,1,1,0,0,5258.0,0.0,2222.0,0.0,66.0,0.0
1615343365.971946,3457,59706.0,5301,5684.0,181,14,1,5684.0,1,1,0,0,5301.0,0.0,5684.0,0.0,181.0,0.0
1615343368.360933,3188,51088.0,5287,11211.0,60,15,1,11211.0,1,1,0,0,5287.0,0.0,11211.0,0.0,60.0,0.0
1615343368.395452,4039,53333.0,5248,161.0,127,16,1,161.0,1,1,0,0,5248.0,0.0,161.0,0.0,127.0,0.0
1615343369.661479,2257,59905.0,5116,60908.0,165,17,1,60908.0,1,1,0,0,5116.0,0.0,60908.0,0.0,165.0,0.0
1615343371.4244301,4126,500.0,5103,500.0,866,18,1,500.0,1,1,0,0,5103.0,0.0,500.0,0.0,866.0,0.0
1615343373.4665134,4554,39307.0,5306,123.0,234,19,1,123.0,1,1,0,0,5306.0,0.0,123.0,0.0,234.0,0.0
1615343373.609541,4554,40950.0,5325,123.0,234,20,1,123.0,1,1,0,0,5325.0,0.0,123.0,0.0,234.0,0.0
1615343373.732117,4162,36411.0,5239,53413.0,71,21,1,53413.0,1,1,0,0,5239.0,0.0,53413.0,0.0,71.0,0.0
1615343375.606127,1331,35908.0,5256,32414.0,60,22,1,32414.0,1,1,0,0,5256.0,0.0,32414.0,0.0,60.0,0.0
1615343379.493444,3541,51580.0,5220,53.0,73,23,1,53.0,1,1,0,0,5220.0,0.0,53.0,0.0,73.0,0.0
1615343380.322619,1329,43022.0,5206,53413.0,60,24,1,53413.0,1,1,0,0,5206.0,0.0,53413.0,0.0,60.0,0.0
1615343383.1529,4055,34867.0,5225,123.0,60,25,1,123.0,1,1,0,0,5225.0,0.0,123.0,0.0,60.0,0.0
1615343383.771952,1328,54419.0,5187,53.0,84,26,1,53.0,1,1,0,0,5187.0,0.0,53.0,0.0,84.0,0.0
1615343385.060216,4075,42772.0,5346,123.0,60,27,1,123.0,1,1,0,0,5346.0,0.0,123.0,0.0,60.0,0.0
1615343385.352649,1690,4040.0,5232,5060.0,494,28,1,5060.0,1,1,0,0,5232.0,0.0,5060.0,0.0,494.0,0.0
1615343386.621273,885,7777.0,5200,19725.0,60,29,3,19725.0,1,1,0,0,5200.0,0.0,19725.0,0.0,60.0,0.0
1615343386.621969,885,7777.0,5200,19725.0,60,29,3,19725.0,1,1,0,0,5200.0,0.0,19725.0,0.0,60.0,0.0
1615343386.622801,885,7777.0,5200,19725.0,60,29,3,19725.0,1,1,0,0,5200.0,0.0,19725.0,0.0,60.0,0.0
1615343389.0163732,3188,52443.0,5103,11211.0,60,30,1,11211.0,1,1,0,0,5103.0,0.0,11211.0,0.0,60.0,0.0
1615343389.950702,1332,35034.0,5228,53.0,84,31,1,53.0,1,1,0,0,5228.0,0.0,53.0,0.0,84.0,0.0
1615343395.937144,1803,26810.0,5183,5060.0,271,32,1,5060.0,1,1,0,0,5183.0,0.0,5060.0,0.0,271.0,0.0
1615343396.055221,1706,48109.0,5253,123.0,234,33,1,123.0,1,1,0,0,5253.0,0.0,123.0,0.0,234.0,0.0
1615343400.575416,2645,14975.0,5179,60908.0,138,34,1,60908.0,1,1,0,0,5179.0,0.0,60908.0,0.0,138.0,0.0
1615343401.2561722,1363,46446.0,5146,53.0,84,35,1,53.0,1,1,0,0,5146.0,0.0,53.0,0.0,84.0,0.0
1615343404.003963,1347,50875.0,5156,32414.0,60,36,1,32414.0,1,1,0,0,5156.0,0.0,32414.0,0.0,60.0,0.0
1615343404.400871,1326,38731.0,5170,53413.0,60,37,1,53413.0,1,1,0,0,5170.0,0.0,53413.0,0.0,60.0,0.0
1615343405.49732,1350,53009.0,5226,523.0,62,38,1,523.0,1,1,0,0,5226.0,0.0,523.0,0.0,62.0,0.0
1615343406.91115,1337,54663.0,5228,53413.0,60,39,1,53413.0,1,1,0,0,5228.0,0.0,53413.0,0.0,60.0,0.0
1615343406.916103,1667,19700.0,5135,53.0,70,40,1,53.0,1,1,0,0,5135.0,0.0,53.0,0.0,70.0,0.0
1615343408.337341,574,49095.0,5290,123.0,60,41,1,123.0,1,1,0,0,5290.0,0.0,123.0,0.0,60.0,0.0
1615343412.9014552,3178,55601.0,5235,1434.0,60,42,1,1434.0,1,1,0,0,5235.0,0.0,1434.0,0.0,60.0,0.0
1615343415.168884,3188,49178.0,5118,11211.0,60,43,1,11211.0,1,1,0,0,5118.0,0.0,11211.0,0.0,60.0,0.0
1615343417.229369,1317,56710.0,5316,32414.0,60,44,1,32414.0,1,1,0,0,5316.0,0.0,32414.0,0.0,60.0,0.0
1615343419.5454366,3178,45023.0,5235,1434.0,60,45,1,1434.0,1,1,0,0,5235.0,0.0,1434.0,0.0,60.0,0.0
1615343419.793349,2012,39614.0,5263,123.0,234,46,1,123.0,1,1,0,0,5263.0,0.0,123.0,0.0,234.0,0.0
1615343420.011911,3653,54986.0,5251,3702.0,670,47,1,3702.0,1,1,0,0,5251.0,0.0,3702.0,0.0,670.0,0.0
1615343420.8362231,3178,60117.0,5304,1434.0,60,48,1,1434.0,1,1,0,0,5304.0,0.0,1434.0,0.0,60.0,0.0
1615343421.193867,3178,46145.0,5305,1434.0,60,49,1,1434.0,1,1,0,0,5305.0,0.0,1434.0,0.0,60.0,0.0
1615343421.814679,4094,59933.0,5196,623.0,65,50,1,623.0,1,1,0,0,5196.0,0.0,623.0,0.0,65.0,0.0
1615343425.1663392,4077,47076.0,5267,69.0,60,51,1,69.0,1,1,0,0,5267.0,0.0,69.0,0.0,60.0,0.0
1615343425.4393814,4554,38458.0,5153,123.0,234,52,1,123.0,1,1,0,0,5153.0,0.0,123.0,0.0,234.0,0.0
1615343426.095971,1327,33820.0,5209,523.0,62,53,1,523.0,1,1,0,0,5209.0,0.0,523.0,0.0,62.0,0.0
1615343427.961548,2011,47047.0,5251,123.0,234,54,1,123.0,1,1,0,0,5251.0,0.0,123.0,0.0,234.0,0.0
1615343428.560309,1325,43702.0,5197,32414.0,60,55,1,32414.0,1,1,0,0,5197.0,0.0,32414.0,0.0,60.0,0.0
1615343429.442235,1348,60362.0,5304,53.0,84,56,1,53.0,1,1,0,0,5304.0,0.0,53.0,0.0,84.0,0.0
1615343433.029464,3178,53012.0,5212,1434.0,60,57,1,1434.0,1,1,0,0,5212.0,0.0,1434.0,0.0,60.0,0.0
1615343433.251931,4162,44054.0,5245,53413.0,71,58,1,53413.0,1,1,0,0,5245.0,0.0,53413.0,0.0,71.0,0.0
1615343435.874569,4794,52886.0,5232,137.0,92,59,1,137.0,1,1,0,0,5232.0,0.0,137.0,0.0,92.0,0.0
1615343436.9381402,4791,52710.0,5146,137.0,92,60,1,137.0,1,1,0,0,5146.0,0.0,137.0,0.0,92.0,0.0
1615343438.930095,4554,45838.0,5227,123.0,234,61,1,123.0,1,1,0,0,5227.0,0.0,123.0,0.0,234.0,0.0
1615343439.2284892,3188,51643.0,5124,11211.0,60,62,1,11211.0,1,1,0,0,5124.0,0.0,11211.0,0.0,60.0,0.0
1615343439.436137,3178,33024.0,5202,1434.0,60,63,1,1434.0,1,1,0,0,5202.0,0.0,1434.0,0.0,60.0,0.0
1615343440.347369,4191,53626.0,5276,60908.0,233,64,1,60908.0,1,1,0,0,5276.0,0.0,60908.0,0.0,233.0,0.0
1615343441.269258,4671,5198.0,5098,5060.0,458,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269279,4671,5198.0,5099,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269302,4671,5198.0,5100,5060.0,458,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269326,4671,5198.0,5101,5060.0,458,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269342,4671,5198.0,5103,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.2693589,4671,5198.0,5102,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.2694151,4671,5198.0,5105,5060.0,458,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269465,4671,5198.0,5106,5060.0,461,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.26948,4671,5198.0,5107,5060.0,458,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269541,4671,5198.0,5108,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269567,4671,5198.0,5109,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.2695858,4671,5198.0,5110,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269767,4671,5198.0,5113,5060.0,461,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269767,4671,5198.0,5114,5060.0,460,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269782,4671,5198.0,5115,5060.0,459,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269823,4671,5198.0,5116,5060.0,462,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269842,4671,5198.0,5117,5060.0,461,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
1615343441.269905,4671,5198.0,5118,5060.0,461,65,214,5060.0,214,1,252,0,5239.672897196262,68.47985933540538,5060.0,0.0,461.0934579439252,1.3809972712444285
