ts,src_ip,src_port,dst_ip,dst_port,proto,pck_len,tcp_flags,mirai
1615343338.127264,614,51573,5259,45264,6,60,2,0
1615343338.138070,614,51573,5260,45447,6,60,2,0
1615343338.211837,2915,41619,5250,6381,6,60,2,0
1615343338.272262,1675,59731,5207,3354,6,60,2,0
1615343338.446684,4665,34377,5345,23,6,60,2,1
1615343338.562184,1786,27695,5346,80,6,60,2,0
1615343338.574306,426,47394,5192,2430,6,60,2,0
1615343338.579197,614,51573,5312,45893,6,60,2,0
1615343338.726938,614,51573,5271,55789,6,60,2,0
1615343338.727733,614,51573,5247,55789,6,60,2,0
1615343338.812689,426,47394,5281,2061,6,60,2,0
1615343338.988637,3378,39198,5334,26141,6,60,2,0
1615343339.068432,4385,53762,5151,445,6,60,2,0
1615343339.089614,426,47394,5204,1452,6,60,2,0
1615343339.109301,2106,40517,5343,21691,6,60,2,0
1615343339.175204,1375,53215,5124,8883,6,60,2,0
1615343339.346445,3135,41037,5234,29591,6,60,2,0
1615343339.349635,3054,52479,5211,10795,6,60,2,0
1615343339.363790,3516,40236,5273,8042,6,60,2,0
1615343339.373496,614,51573,5309,55789,6,60,2,0
1615343339.407801,2953,26200,5201,6601,6,60,2,0
1615343339.419328,872,52451,5143,23,6,60,2,1
1615343339.445593,614,51573,5118,55826,6,60,2,0
1615343339.571885,3470,37991,5148,805,6,60,2,0
1615343339.590466,254,60100,5156,445,6,66,2,0
1615343339.651137,2491,58212,5251,22220,6,60,2,0
1615343339.705196,614,51573,5295,45938,6,60,2,0
1615343339.719173,1039,62454,5214,23,6,60,2,1
1615343339.896005,614,51573,5251,45893,6,60,2,0
1615343339.897331,614,51573,5312,45568,6,60,2,0
1615343339.965282,2915,41619,5273,6381,6,60,2,0
1615343340.034810,4738,54226,5241,995,6,60,2,0
1615343340.081892,2293,47549,5316,80,6,74,2,0
1615343340.129073,254,60197,5199,445,6,66,2,0
1615343340.172830,711,54614,5175,445,6,66,2,0
1615343340.189734,614,51573,5207,45763,6,60,2,0
1615343340.306563,1936,43070,5136,13388,6,60,2,0
1615343340.433477,3558,35055,5171,970,6,60,2,0
